case_id,case_text,best_solution,keywords,skills
X5-LOGISTICS-OPTIM-001,"Вы — логист в распределительном центре X5. Резко вырос спрос на скоропортящиеся товары из-за аномальной жары. Предложите: (1) как оперативно перераспределить транспортные ресурсы, (2) алгоритм приоритизации доставки, (3) меры по сохранению качества продукции, (4) коммуникацию с магазинами об изменении графиков.", "Немедленно активировать резервный транспорт и перевести часть водителей на сверхурочные. Приоритет: магазины с наименьшими остатками + высокая проходимость. Использовать термо-контейнеры и хладоэлементы. Внедрить мониторинг температуры в реальном времени. Уведомлять магазины за 2 часа через чат-бот с примерным временем доставки и списком товаров. Вести лог изменений для анализа после пика.", "['логистика', 'скоропортящиеся товары', 'аномальная жара', 'перераспределение ресурсов', 'приоритизация', 'контроль температуры', 'коммуникация с магазинами']", "[{'skill': 'Критическое мышление', 'criterion': 'Скорость и качество принятия решений в условиях кризиса', 'rubric': ['0 — решения не приняты/приведшие к порче.', '1 — решения с опозданием, частичные.', '2 — решения есть, но без учёта всех факторов.', '3 — учтены основные факторы, но нет резервных планов.', '4 — решения оперативные, с учётом приоритетов и рисков.', '5 — то же + создание системы на будущее и анализ превентивных мер.'], 'recommendation': 'Разработай и отработай чек-лист действий на случай резкого роста спроса по разным категориям товаров.'}, {'skill': 'Оперативное планирование', 'criterion': 'Эффективность перераспределения ресурсов', 'rubric': ['0 — ресурсы не перераспределены.', '1 — перераспределение хаотичное, без учёта потребностей.', '2 — учтены только очевидные потребности.', '3 — перераспределение адекватное, но не оптимальное.', '4 — перераспределение оптимальное, с минимизацией потерь.', '5 — то же + использование алгоритмов прогнозирования и автоматизации.'], 'recommendation': 'Создай динамическую карту приоритетов доставки на основе остатков в магазинах и прогноза спроса.'}]"
X5-HR-RECRUIT-001,"Вы — HR-специалист в X5 на массовый подбор кассиров в новый сезон (лето). Нужно закрыть 50 вакансий за 2 недели. Опишите: (1) как оптимизировать процесс отбора без потери качества, (2) ключевые каналы привлечения для данной аудитории, (3) структуру 15-минутного скринингового собеседования, (4) метрики эффективности на каждом этапе.", "Автоматизировать скрининг резюме по ключевым словам (готовность к сменам, опыт). Основные каналы: рекомендации сотрудников (бонусная программа), геолокационные таргетированные объявления в соцсетях, ярмарки вакансий в районах с магазинами. Скрининг: 5 мин — проверка мотивации и графика, 5 мин — ситуационные вопросы на стрессоустойчивость (например, 'что сделаете, если очередь и клиент недоволен?'), 5 мин — ответы кандидата. Метрики: conversion rate на каждом этапе (отклик→собеседование→выход), время закрытия вакансии, процент выхода на работу после принятия оффера.", "['массовый подбор', 'кассиры', 'скрининговое собеседование', 'оптимизация рекрутмента', 'метрики подбора', 'сезонность']", "[{'skill': 'Организация процессов', 'criterion': 'Эффективность и скорость процесса подбора', 'rubric': ['0 — процесс не организован, вакансии не закрыты.', '1 — процесс есть, но крайне медленный и неэффективный.', '2 — процесс стандартный, без учёта сезонности.', '3 — процесс оптимизирован, но есть узкие места.', '4 — процесс быстрый и эффективный, вакансии закрываются в срок.', '5 — то же + процесс масштабируем и может быть тиражирован на другие регионы/должности.'], 'recommendation': 'Создай шаблон процесса массового подбора с таймлайнами и чек-листами для каждого этапа.'}, {'skill': 'Аналитическое мышление', 'criterion': 'Использование метрик для принятия решений', 'rubric': ['0 — метрики не отслеживаются.', '1 — отслеживаются только итоговые метрики.', '2 — отслеживаются основные метрики этапов.', '3 — метрики анализируются постфактум.', '4 — метрики отслеживаются в реальном времени и влияют на процесс.', '5 — то же + прогнозная аналитика и A/B-тестирование каналов привлечения.'], 'recommendation': 'Настрой дашборд в CRM с ключевыми метриками подбора для оперативного контроля.'}]"
X5-MARKETING-PROMO-001,"Вы — маркетолог X5. Запускается промоакция '3 по цене 2' на линейку молочных продуктов. Разработайте план: (1) как донести информацию до покупателей в магазине, (2) как проинструктировать кассиров для правильного применения акции, (3) как избежать ошибок на кассе и недовольства покупателей, (4) как замерить эффективность акции.", "Разместить POS-материалы (шелфтокеры, воблеры) в молочной зоне и на кассах. Провести 10-минутный инструктаж для кассиров перед сменой с раздачей памяток-шпаргалок с условиями акции. Внести акцию в систему для автоматического применения при сканировании 3-х товаров. Назначить дежурного администратора для оперативного решения вопросов на кассе. Эффективность мерить по: росту продаж по акционным SKU, среднему чеку в категории, количеству чеков с участием в акции, проценту возвратов/отказов на кассе.", "['промоакция', '3 по цене 2', 'молочные продукты', 'POS-материалы', 'инструктаж кассиров', 'ошибки на кассе', 'эффективность акции']", "[{'skill': 'Планирование кампаний', 'criterion': 'Полнота и реализуемость плана продвижения', 'rubric': ['0 — план отсутствует.', '1 — план есть, но упущены ключевые элементы.', '2 — план общий, без деталей реализации.', '3 — план детальный, но без учёта возможных рисков.', '4 — план комплексный, включает все этапы и коммуникации.', '5 — то же + план B на случай низкой эффективности или технических сбоев.'], 'recommendation': 'Используй чек-лист запуска промо: материалы -> инструктаж -> система -> поддержка -> анализ.'}, {'skill': 'Работа с возражениями', 'criterion': 'Предотвращение и обработка недовольства на кассе', 'rubric': ['0 — недовольство не обрабатывается, эскалации.', '1 — обработка хаотичная, без скриптов.', '2 — есть базовые скрипты, но они не всегда работают.', '3 — скрипты есть, но кассиры не всегда обучены.', '4 — кассиры обучены, скрипты работают, эскалаций минимум.', '5 — то же + сбор обратной связи и оперативная корректировка условий акции при массовых проблемах.'], 'recommendation': 'Проведи ролевые игры с кассирами на отработку самых частых сценариев непонимания акции.'}]"
X5-FINANCE-CONTROL-001,"Вы — финансовый контролёр в центральном офисе X5. Обнаружены расхождения в отчётах по наличности в нескольких кассах одного магазина. Разработайте алгоритм действий: (1) с чего начать расследование, (2) кого привлечь, (3) как провести сверку, (4) как оформить результаты и предложить меры по недопущению в будущем.", "Начать с запроса чеков инкассации, Z-отчётов и видеозаписей за спортивные дни. Привлечь менеджера магазина, старшего кассира и службу безопасности. Провести покомплексную сверку приходных и расходных ордеров, остатков в кассе. Оформить акт инвентаризации наличности с указанием сумм расхождений и предполагаемых причин (техническая ошибка, недостача/излишек). Предложить: усилить контроль двойной проверкой Z-отчётов, внедрить внеплановые проверки наличности, провести дополнительное обучение кассиров.", "['финансовый контроль', 'расхождения в кассе', 'инкассация', 'Z-отчёты', 'расследование', 'инвентаризация', 'недостача']", "[{'skill': 'Анализ данных', 'criterion': 'Глубина и точность расследования расхождений', 'rubric': ['0 — расследование не проведено.', '1 — расследование поверхностное, причины не найдены.', '2 — найдены очевидные причины, но не все.', '3 — причины установлены, но меры предложены общие.', '4 — расследование глубокое, причины точные, меры конкретные.', '5 — то же + предложены системные изменения для автоматического предотвращения подобных ошибок.'], 'recommendation': 'Создай пошаговый мануал (playbook) для расследования кассовых расхождений разного типа.'}, {'skill': 'Внутренний контроль', 'criterion': 'Эффективность предложенных мер по предотвращению', 'rubric': ['0 — меры не предложены.', '1 — меры предложены, но нереалистичные.', '2 — меры общие (например, 'лучше считать').', '3 — меры конкретные, но только реактивные.', '4 — меры включают проактивный контроль и обучение.', '5 — то же + внедрение автоматизированных систем контроля и оповещения.'], 'recommendation': 'Внедри регулярные кросс-чеки между кассирами и администраторами при закрытии смены.'}]"
X5-SCM-ORDER-001,"Вы — специалист по управлению цепями поставок (SCM) в X5. Прогноз продаж по новому товару (безглютеновые хлебцы) оказался завышенным, на складе образуется неликвид. Разработайте план действий: (1) как стимулировать продажи в магазинах, (2) как договориться с поставщиком о возврате/уценке, (3) как перераспределить остатки между магазинами, (4) как скорректировать прогноз на будущее.", "Запустить точечную промоакцию в магазинах с высокой аудиторией, заинтересованной в ЗОЖ (разместить в соответствующих зонах, дать пробники). Связаться с поставщиком, обсудить возможность возврата части партии или уценки для распродажи. Проанализировать продажи по магазинам и перераспределить остатки в те, где есть хотя бы минимальный спрос. Пересмотреть модель прогнозирования для новых товаров, добавив фактор 'новизны' и начав с пилотных поставок в ограниченное число магазинов.", "['управление запасами', 'неликвид', 'прогноз продаж', 'стимулирование спроса', 'переговоры с поставщиком', 'перераспределение товаров', 'новый товар']", "[{'skill': 'Переговоры', 'criterion': 'Эффективность взаимодействия с поставщиком', 'rubric': ['0 — переговоры не проведены.', '1 — проведены, но без результата.', '2 — достигнуто частичное соглашение (только уценка или только возврат).', '3 — достигнуто соглашение, выгодное для X5.', '4 — достигнуто взаимовыгодное соглашение с сохранением отношений.', '5 — то же + выработка совместного плана по предотвращению подобных ситуаций в будущем.'], 'recommendation': 'Подготовь коммерческое предложение для поставщика, где распиши выгоды долгосрочного сотрудничества vs разовая потеря.'}, {'skill': 'Прогнозирование', 'criterion': 'Корректность и обоснованность корректировок прогноза', 'rubric': ['0 — прогноз не скорректирован.', '1 — корректировки интуитивные.', '2 — учтены только исторические данные.', '3 — учтены исторические данные и фактор новизны.', '4 — учтены история, новизна, внешние факторы (сезонность, тренды).', '5 — то же + использование машинного обучения для более точного прогноза новых товаров.'], 'recommendation': 'Внедри практику запуска новых товаров через пилотные магазины для сбора данных перед полномасштабным внедрением.'}]"
X5-CUSTOMER-SUPPORT-001,"Вы — оператор кол-центра X5. Клиент жалуется на некачественный продукт (например, прокисшее молоко), купленный вчера. У него нет чека, но он помнит примерное время и магазин. Опишите алгоритм действий: (1) как извиниться и подтвердить важность проблемы, (2) как проверить информацию, (3) как предложить компенсацию, (4) как оформить обращение для передачи в магазин.", "Выразить искренние соболезнования и извинения: 'Мне очень жаль, что вы столкнулись с такой ситуацией, спасибо, что сообщили'. Запросить номер карты лояльности или телефон для поиска покупки в системе. Если чек не находится, предложить компенсацию на карту лояльности в размере стоимости продукта + небольшой бонус (например, 50 бонусных рублей) в качестве жеста доброй воли. Оформить тикет в CRM с деталями (магазин, товар, проблема) и отправить уведомление менеджеру магазина для проверки партии и недопущения повторения.", "['кол-центр', 'жалоба клиента', 'некачественный товар', 'отсутствие чека', 'компенсация', 'карта лояльности', 'обратная связь в магазин']", "[{'skill': 'Эмпатия', 'criterion': 'Искренность и эффективность извинений', 'rubric': ['0 — извинений нет/формальные.', '1 — извинения есть, но звучат шаблонно.', '2 — извинения приняты, но клиент не успокоен.', '3 — клиент успокоен, но доверие подорвано.', '4 — извинения искренние, клиент чувствует, что его услышали.', '5 — то же + клиент становится ещё более лояльным из-за решения проблемы.'], 'recommendation': 'Используй технику 'Извинение + Благодарность за сообщение + Действие'.'}, {'skill': 'Решение проблем', 'criterion': 'Скорость и справедливость предложенной компенсации', 'rubric': ['0 — компенсация не предложена.', '1 — предложена после долгих пререканий.', '2 — предложена минимальная компенсация.', '3 — предложена адекватная компенсация, но без бонуса.', '4 — предложена справедливая компенсация + бонус за неудобства.', '5 — то же + компенсация превышает ожидания клиента, оставляя позитивное впечатление.'], 'recommendation': 'Разраби лимиты компенсации для стандартных ситуаций (нет чека/некачественный товар) для ускорения процесса.'}]"
X5-DATA-ANALYTICS-001,"Вы — data-аналитик в X5. Поставлена задача: снизить потери от списания просроченных товаров в категории 'Свежие салаты' на 15% в следующем квартале. Предложите: (1) какой анализ провести, (2) какие данные использовать, (3) ключевые гипотезы для проверки, (4) как внедрить findings и измерить результат.", "Проанализировать данные: продажи по часам, остатки на конец дня, динамика списаний по дням недели и магазинам. Выдвинуть гипотезы: 1) Неверное время приготовления/выставления (слишком поздно). 2) Завышенные объемы производства в определенные дни. 3) Неэффективное размещение в витрине. 4) Отсутствие промо на товары с истекающим сроком. Внедрить: корректировку графиков производства, систему динамического ценообразования (скидки за 2-3 часа до конца срока), эксперимент с размещением. Измерять: объем списаний до и после, ROI от внедренных мер.", "['data-аналитика', 'списания', 'просрочка', 'свежие салаты', 'анализ данных', 'гипотезы', 'внедрение решений']", "[{'skill': 'Аналитическое мышление', 'criterion': 'Глубина анализа и выдвижения гипотез', 'rubric': ['0 — анализ не проведён.', '1 — анализ поверхностный, на основе очевидных данных.', '2 — анализ проведён, но гипотезы слабые.', '3 — гипотезы обоснованные, но не все возможные.', '4 — анализ комплексный, гипотезы покрывают основные причины.', '5 — то же + использованы продвинутые методы (ML, кластеризация магазинов) для выявления скрытых закономерностей.'], 'recommendation': 'Используй методологию '5 почему' для поиска корневых причин высоких списаний.'}, {'skill': 'Внедрение решений', 'criterion': 'Практичность и измеримость предлагаемых решений', 'rubric': ['0 — решения не предложены.', '1 — решения абстрактные ('улучшить прогноз').', '2 — решения есть, но их сложно внедрить.', '3 — решения внедряемы, но их эффект сложно измерить.', '4 — решения конкретные, внедряемые и измеримые.', '5 — то же + план A/B-тестирования гипотез для точного замера эффективности.'], 'recommendation': 'Для каждой гипотезы определяй KPI и владельца внедрения в магазинах.'}]"
X5-LEGAL-COMPLIANCE-001,"Вы — юрист X5. В законодательство внесли изменения о необходимости маркировки нового категории товаров (например, растительное молоко). Разработайте roadmap внедрения для всех магазинов: (1) как отследить изменения, (2) план взаимодействия с закупками и IT, (3) инструктаж для персонала магазинов, (4) контроль соблюдения и риски.", "Подписаться на мониторинг правовых систем. Roadmap: 1) Анализ норм и сроков. 2) Инвентаризация ассортимента подпадающего под изменения. 3) Взаимодействие с поставщиками на предмет предоставления кодов маркировки. 4) Интеграция с IT-системами для учёта маркировки (Честный ЗНАК). 5) Разработка инструкций для приёмки и продаж. 6) Обучение менеджеров и кассиров через вебинары и тесты. 7) Внутренний аудит перед дедлайном. Риски: штрафы за продажу немаркированного товара.", "['юриспруденция', 'соблюдение нормативов', 'маркировка товаров', 'изменения в законодательстве', 'roadmap', 'обучение персонала', 'риски']", "[{'skill': 'Управление проектами', 'criterion': 'Полнота и реалистичность roadmap', 'rubric': ['0 — roadmap отсутствует.', '1 — roadmap есть, но упущены ключевые этапы.', '2 — этапы есть, но без сроков и ответственных.', '3 — этапы, сроки и ответственные есть, но без учёта зависимостей.', '4 — roadmap комплексный, учитывает все этапы и зависимости.', '5 — то же + учтены риски и заложены буферы по времени.'], 'recommendation': 'Используй диаграмму Ганта для визуализации этапов, сроков и ответственных.'}, {'skill': 'Работа с нормативными актами', 'criterion': 'Точность интерпретации и реализации требований закона', 'rubric': ['0 — требования не поняты/проигнорированы.', '1 — требования поняты частично.', '2 — требования поняты, но реализация неполная.', '3 — реализация полная, но с задержками.', '4 — реализация полная и в срок.', '5 — то же + компания становится эталоном в соблюдении новых норм в отрасли.'], 'recommendation': 'Создай внутреннюю базу знаний с разбором частых юридических вопросов по разным категориям товаров.'}]"
X5-DEVOPS-INCIDENT-001,"Вы — DevOps-инженер X5. В час пик падает один из микросервисов корзины онлайн-заказа. Опишите порядок действий: (1) как быстро определить масштаб и причину, (2) как временно восстановить работу (workaround), (3) как пофиксить причину на постоянной основе, (4) что включить в отчёт о инциденте (postmortem).", "1) Проверить мониторинг (метрики нагрузки, ошибок, логов), определить зону поражения (все пользователи/часть). 2) Если возможно — откатить последний деплой, либо увеличить количество реплик сервиса, либо переключить трафик на резервный кластер. 3) Проанализировать логи и метрики для точного определения корневой причины (утечка памяти, баг в коде, зависимость). Зафиксировать баг и провести тестирование перед деплоем. 4) В postmortem включить: временную шкалу инцидента, корневую причину, принятые меры, план по недопущению (например, улучшение тестов, изменение лимитов ресурсов).", "['DevOps', 'инцидент', 'падение сервиса', 'мониторинг', 'откат деплоя', 'workaround', 'postmortem']", "[{'skill': 'Решение инцидентов', 'criterion': 'Скорость и эффективность восстановления работы', 'rubric': ['0 — сервис не восстановлен длительное время.', '1 — восстановление с большими задержками и ручными действиями.', '2 — восстановление по инструкции, но не оптимальное.', '3 — восстановление в рамках SLA, но с перестраховкой.', '4 — восстановление быстрое и минимально воздействующее на пользователей.', '5 — то же + система автоматически отработала инцидент по заранее подготовленным сценариям.'], 'recommendation': 'Создай и регулярно обновляй runbook для самых критичных сервисов с пошаговыми инструкциями.'}, {'skill': 'Анализ первопричин', 'criterion': 'Глубина анализа и качество postmortem', 'rubric': ['0 — анализ не проведён.', '1 — анализ поверхностный, виноват 'код'.', '2 — найдена прямая причина, но не корневая.', '3 — корневая причина найдена, но план исправления общий.', '4 — корневая причина найдена, план конкретный и измеримый.', '5 — то же + инцидент становится кейсом для обучения и улучшения процессов во всех командах.'], 'recommendation': 'Используй метод '5 почему' при проведении postmortem-встреч.'}]"
X5-MERCHANDISING-LAYOUT-001,"Вы — мерчендайзер X5. В магазине низкая проходимость в зоне бакалеи. Предложите план изменений: (1) анализ текущего расположения и потоков, (2) 2-3 гипотезы по перемещению товаров, (3) как провести эксперимент (A/B тест), (4) ключевые метрики для оценки успеха.", "Провести анализ тепловой карты перемещений покупателей (если есть) или визуальный анализ. Гипотезы: 1) Перенести популярные товары (макароны, рис) вглубь зоны. 2) Создать тематические комплексы (например, 'завтрак': овсянка + джем + орехи). 3) Поместить акционные товары бакалеи на входе в зону. Провести A/B тест: выбрать 2-3 контрольных магазина, внести изменения на 2 недели. Метрики: конверсия в зоне (сколько зашедших купили хоть что-то из бакалеи), средний чек по категории, продажи с акционных полок.", "['мерчендайзинг', 'планировка магазина', 'потоки покупателей', 'бакалея', 'A/B тест', 'конверсия', 'средний чек']", "[{'skill': 'Пространственное мышление', 'criterion': 'Логичность и обоснованность предложений по изменению планировки', 'rubric': ['0 — предложения отсутствуют/абсурдны.', '1 — предложения интуитивные, без анализа.', '2 — предложения на основе базового анализа.', '3 — предложения обоснованные, но не все реализуемы.', '4 — предложения логичные, обоснованные и реализуемые.', '5 — то же + предложения основаны на данных тепловых карт и предыдущих успешных кейсах.'], 'recommendation': 'Изучи базовые принципы мерчендайзинга (правило правой руки, группы товаров) перед внесением изменений.'}, {'skill': 'Экспериментальное мышление', 'criterion': 'Корректность постановки и проведения A/B теста', 'rubric': ['0 — тест не проведён.', '1 — тест проведён без контрольной группы.', '2 — тест проведён, но метрики не те.', '3 — тест корректен, но сроки слишком короткие/длинные.', '4 — тест корректен, метрики и сроки адекватны.', '5 — то же + результаты теста статистически значимы и приводят к масштабированию изменений на сеть.'], 'recommendation': 'Всегда определяй единицу рандомизации (магазин/зона) и минимальный размер эффекта для детектирования до начала теста.'}]"
