case_id,case_text,best_solution,keywords,skills
X5-STORE-OPENING-001,"""Вы — руководитель проекта по открытию нового магазина Пятёрочка. До открытия осталось 2 недели. Составьте чек-лист критических задач: (1) набор и обучение персонала, (2) поставка и выкладка товара, (3) тестирование оборудования и касс, (4) план soft-opening и гранд-опенинга.""","""Чек-лист: 1) Завершить набор команды (80% штата), провести 3-дневное обучение по стандартам и 1 день на практике в другом магазине. 2) Обеспечить поставку 95% ассортимента, завершить выкладку за 3 дня до открытия. 3) Протестировать все кассы, весы, онлайн-оплату, работу бэк-офиса. 4) Провести soft-opening для сотрудников и их семей за 2 дня для отладки процессов. Гранд-опенинг: активации, подарки первым покупателям, розыгрыши."",","""['открытие магазина', 'чек-лист', 'набор персонала', 'поставка товара', 'тестирование оборудования', 'soft-opening', 'гранд-опенинг']""","""[{'skill': 'Управление проектами', 'criterion': 'Полнота и детализация чек-листа', 'rubric': ['0 — чек-лист отсутствует.', '1 — чек-лист фрагментарный, упущены ключевые этапы.', '2 — основные этапы есть, но без сроков и ответственных.', '3 — этапы, сроки и ответственные есть, но без приоритизации.', '4 — чек-лист комплексный, с приоритизацией и контрольными точками.', '5 — то же + учтены риски и запасные варианты на каждый критичный этап.'], 'recommendation': 'Используй шаблон чек-листа открытия из предыдущих успешных проектов и адаптируй его под конкретный магазин.'}, {'skill': 'Организационные способности', 'criterion': 'Синхронизация работы всех подрядчиков и отделов', 'rubric': ['0 — работы не синхронизированы, хаос.', '1 — есть попытки синхронизации, но частые сбои.', '2 — основные работы синхронизированы, но есть мелкие накладки.', '3 — работы синхронизированы, график соблюдается.', '4 — чёткая синхронизация, регулярные планерки, минимизация задержек.', '5 — то же + использование программных инструментов для совместной работы и отслеживания прогресса в реальном времени.'], 'recommendation': 'Создай общий чат/рабочее пространство для всех ответственных за открытие с ежедневными стендапами.'}]"""
X5-SYSTEMS-MIGRATION-001,"""Вы — IT-менеджер в X5. Предстоит миграция системы управления товарными запасами на новую платформу. Разработайте план: (1) этапы миграции, (2) тестирование (модульное, интеграционное, нагрузочное), (3) откатная стратегия, (4) коммуникация с пользователями (магазины, склады).""","""Этапы: 1) Миграция исторических данных. 2) Параллельная работа старой и новой систем в тестовом режиме. 3) Постепенное подключение пилотных магазинов. 4) Полный переход. Тестирование: нагрузочное тестирование в пиковые часы, проверка интеграций с кассами и поставщиками. Откат: подготовить снимок данных перед переходом и иметь возможность быстро вернуться на старую систему. Коммуникация: обучающие вебинары, инструкции, горячая линия поддержки на время перехода.""","""['миграция систем', 'управление запасами', 'тестирование', 'откатная стратегия', 'коммуникация', 'пилотное внедрение']""","""[{'skill': 'Управление рисками', 'criterion': 'Глубина проработки откатной стратегии и рисков', 'rubric': ['0 — откатная стратегия отсутствует.', '1 — стратегия есть, но технически не реализуема.', '2 — стратегия реализуема, но с длительным временем отката.', '3 — время отката приемлемое, но возможна потеря данных.', '4 — откат быстрый, с минимальной потерей данных или без.', '5 — то же + проведены учения по откату и все ответственные обучены.'], 'recommendation': 'Проведи как минимум одну репетицию отката на тестовом стенде перед финальным переходом.'}, {'skill': 'Коммуникация', 'criterion': 'Ясность и своевременность коммуникации с пользователями', 'rubric': ['0 — пользователи не проинформированы.', '1 — информирование в последний момент.', '2 — информирование есть, но непонятное/неполное.', '3 — информирование полное, но без обратной связи.', '4 — информирование полное, есть каналы для обратной связи и оперативной помощи.', '5 — то же + пользователи чувствуют поддержку и подготовлены к временным трудностям.'], 'recommendation': 'Создай FAQ по самым частым проблемам, которые могут возникнуть во время перехода, и размести его в легкодоступном месте.'}]"""
X5-PROCUREMENT-NEGOTIATION-001,"""Вы — менеджер по закупкам X5. Предстоят переговоры с ключевым поставщиком молочной продукции об условиях на следующий год. Подготовьте стратегию: (1) анализ текущих условий и рынка, (2) определение целевых KPI по цене и условиям, (3) козыри для переговоров (объемы, предоплата), (4) план B на случай срыва переговоров."""," ""Анализ: изучить динамику цен на сырье, предложения других поставщиков, наши объемы закупок. Цели: снижение цены на 3-5% или улучшение отсрочки платежа на 5 дней. Козыри: гарантия объемов, предоплата за большой объем, включение в рекомендованный список поставщиков для франчайзи. План B: протестировать 1-2 альтернативных поставщика с постепенным переводом части объемов, диверсификация по SKU.""","""['закупки', 'переговоры с поставщиками', 'молочная продукция', 'стратегия переговоров', 'KPI', 'диверсификация']"","," ""[{'skill': 'Анализ рынка', 'criterion': 'Глубина анализа рыночной ситуации и позиции поставщика', 'rubric': ['0 — анализ не проведён.', '1 — анализ поверхностный, на основе открытых данных.', '2 — анализ включает основные рыночные тренды.', '3 — анализ включает тренды и финансовое положение поставщика.', '4 — анализ глубокий, включает тренды, финансы поставщика и альтернативы.', '5 — то же + построение модели ценообразования поставщика для понимания его 'болевых точек'.'], 'recommendation': 'Подпишись на отраслевые новости и отчёты по ключевым для тебя категориям товаров.'}, {'skill': 'Переговорные техники', 'criterion': 'Эффективность подготовки и ведения переговоров', 'rubric': ['0 — к переговорам не подготовился.', '1 — подготовился частично, не знает своих целей.', '2 — знает цели, но не имеет аргументов.', '3 — имеет аргументы, но не может их правильно подать.', '4 — чётко следует стратегии, использует аргументы, достигает целей.', '5 — то же + достигает целей с превышением и укрепляет долгосрочные партнёрские отношения.'], 'recommendation': 'Отработай переговоры с коллегой на роль поставщика, продумай ответы на возможные возражения.'}]"""
X5-TRAINING-ONBOARDING-001,"""Вы — специалист по обучению и развитию X5. Нужно разработать программу онбординга для новых кассиров на замену старой (скучная презентация 100 слайдов). Предложите новый формат: (1) структура программы (онлайн/оффлайн), (2) геймификация и интерактив, (3) оценка эффективности, (4) план внедрения."""," ""Структура: 1 день — введение в компанию и ценности (онлайн). 2 день — основы работы на кассе на тренажере (оффлайн). 3 день — отработка сложных ситуаций через ролевые игры (оффлайн). Геймификация: система баллов за прохождение модулей, бейджи за успехи, рейтинговая таблица. Оценка: тест на знания + наблюдение тренера за работой в реальных условиях в первый день. Внедрение: пилот в 3 магазинах, сбор фидбэка, доработка, масштабирование.""","""['обучение', 'онбординг', 'кассиры', 'геймификация', 'тренажер', 'оценка эффективности']""","""[{'skill': 'Разработка учебных программ', 'criterion': 'Инновационность и вовлекаемость формата', 'rubric': ['0 — программа не разработана.', '1 — программа — копия старой.', '2 — добавлены minor-изменения без изменения сути.', '3 — формат изменен, но не до конца продуман.', '4 — формат современный, интерактивный, вовлекающий.', '5 — то же + программа легко масштабируется и адаптируется под другие должности.'], 'recommendation': 'Используй принцип '70-20-10' (70% практики, 20% общения с коллегами, 10% теории) при разработке программы.'}, {'skill': 'Оценка эффективности обучения', 'criterion': 'Корректность методов оценки и их связь с бизнес-метриками', 'rubric': ['0 — оценка не проводится.', '1 — оценка по уровню удовлетворенности (smile sheets).', '2 — оценка по уровню знаний (тесты).', '3 — оценка по применению навыков на рабочем месте.', '4 — оценка по бизнес-метрикам (сокращение ошибок на кассе, скорость обслуживания).', '5 — то же + измерение ROI от программы обучения.'], 'recommendation': 'Сравни ключевые показатели новых кассиров до и после внедрения новой программы онбординга.'}]"""
X5-CATEGORY-MANAGER-001,"""Вы — категорийный менеджер по направлению 'Снеки'. Анализ показывает падение маржинальности категории. Проведите анализ и предложите план действий: (1) анализ ассортимента и цен конкурентов, (2) пересмотр ценовой политики, (3) работа с поставщиками, (4) план по оптимизации ассортимента."",","""Анализ: провести мэппинг цен на ключевые SKU у основных конкурентов, проанализировать структуру ассортимента (доля HB vs branded). Пересмотр цен: точечно повысить цены на товары с низкой эластичностью спроса, ввести bundle-предложения (2 по цене 1,5). Работа с поставщиками: запросить промо-поддержку, обсудить условия для улучшения маржи. Оптимизация ассортимента: сократить низкомаржинальные и низкооборачиваемые SKU, сделать ставку на премиальные и частные марки."""," ""['категорийный менеджмент', 'снеки', 'маржа', 'анализ конкурентов', 'ценовая политика', 'оптимизация ассортимента']""","""[{'skill': 'Анализ данных', 'criterion': 'Глубина анализа падения маржи и выявления причин', 'rubric': ['0 — анализ не проведён.', '1 — анализ на основе одного фактора (например, только цены).', '2 — анализ включает несколько факторов, но без приоритизации.', '3 — анализ включает основные факторы (цены, конкуренты, ассортимент).', '4 — анализ комплексный, включает все факторы и их взаимосвязь.', '5 — то же + построение прогнозной модели влияния изменений на маржу.'], 'recommendation': 'Разбей анализ на компоненты: цена закупа, цена продажи, конкуренция, оборачиваемость, поведение покупателей.'}, {'skill': 'Управление ассортиментом', 'criterion': 'Сбалансированность и обоснованность изменений в ассортименте', 'rubric': ['0 — изменения не предложены.', '1 — предложены хаотичные изменения.', '2 — предложено сокращение ассортимента без учёта спроса.', '3 — предложения обоснованы, но могут негативно сказаться на лояльности.', '4 — предложения сбалансированы: оптимизация ассортимента без потери ключевых товаров для покупателей.', '5 — то же + ассортимент становится более конкурентным и маржинальным.'], 'recommendation': 'Используй ABC-XYZ анализ для принятия решений по оптимизации ассортимента.'}]"""
X5-DIGITAL-MARKETING-001,"""Вы — Performance-маркетолог X5. Нужно увеличить количество установок мобильного приложения в рамках ограниченного бюджета. Разработайте кампанию: (1) выбор каналов трафика, (2) креативы и сообщения, (3) оптимизация лендинга/стора, (4) KPI и оптимизация кампании.""","""Каналы: таргетированная реклама в соцсетях (VK, OK) на аудиторию похожую на наших покупателей, ASO (оптимизация страницы в сторах). Креативы: акцент на конкретные выгоды ('скачай и получи 100 бонусов на первый заказ', 'бесплатная доставка'). Оптимизация: упростить процесс установки и регистрации, сделать кнопку CTA заметнее. KPI: стоимость установки (CPI), конверсия в регистрацию, стоимость привлечения платящего пользователя (CPP). Оптимизация: отключать неперформансные связки креатив+аудитория, A/B тесты заголовков и иконок.""","""['performance-маркетинг', 'мобильное приложение', 'установки', 'таргетированная реклама', 'ASO', 'CPI', 'A/B тестирование']""","""[{'skill': 'Планирование и запуск кампаний', 'criterion': 'Эффективность распределения бюджета по каналам', 'rubric': ['0 — бюджет потрачен неэффективно/не по плану.', '1 — бюджет распределён интуитивно.', '2 — распределение на основе прошлого опыта без учёта текущих целей.', '3 — распределение на основе данных по похожим кампаниям.', '4 — распределение основано на данных и тестах, большая часть бюджета идёт на рабочие каналы.', '5 — то же + используется модель атрибуции для точного определения вклада каждого канала.'], 'recommendation': 'Начинай с небольших тестовых бюджетов на каждом потенциальном канале, чтобы определить самый эффективный.'}, {'skill': 'Анализ и оптимизация', 'criterion': 'Глубина анализа данных и скорость оптимизации кампании', 'rubric': ['0 — кампания не оптимизируется.', '1 — оптимизация разовая, по итогам кампании.', '2 — оптимизация регулярная, но медленная.', '3 — оптимизация в реальном времени, но только по основным метрикам.', '4 — оптимизация в реальном времени по всем ключевым метрикам, быстрая реакция.', '5 — то же + использование автоматических правил оптимизации и AI-решений.'], 'recommendation': 'Настрой ежедневные отчеты по ключевым метрикам кампании для оперативного принятия решений.'}]"""
X5-INTERNAL-COMMS-001,"""Вы — руководитель отдела внутренних коммуникаций X5. В компании прошли крупные сокращения, моральный дух сотрудников низкий. Разработайте план коммуникаций: (1) ключевые сообщения от руководства, (2) каналы коммуникации, (3) меры по поддержке сотрудников, (4) план по восстановлению доверия.""","""Ключевые сообщения: честность о причинах, ясность о будущем компании, благодарность ушедшим и оставшимся. Каналы: прямой эфир с CEO, серия FAQ-писем, открытые чаты с HR. Поддержка: программа помощи уволенным (outplacement), консультации психолога для оставшихся, пересмотр KPI и зон ответственности. Восстановление доверия: регулярные прозрачные коммуникации о состоянии дел, реализация обещаний, признание ошибок.""","""['внутренние коммуникации', 'кризисные коммуникации', 'моральный дух', 'поддержка сотрудников', 'доверие', 'транспарентность']""","""[{'skill': 'Эмпатия и этика', 'criterion': 'Чувствительность и уважение в коммуникациях', 'rubric': ['0 — коммуникации отсутствуют/безразличные.', '1 — коммуникации формальные, шаблонные.', '2 — коммуникации пытаются быть тёплыми, но выглядят фальшиво.', '3 — коммуникации адекватные, но не снимают все тревоги.', '4 — коммуникации empathetic, честные, поддерживающие.', '5 — то же + сотрудники чувствуют заботу и видят свет в конце туннеля.'], 'recommendation': 'Все сообщения перед отправкой 'прогоняй' на фокус-группе сотрудников на предмет восприятия.'}, {'skill': 'Стратегическое планирование', 'criterion': 'Долгосрочность и комплексность плана по восстановлению доверия', 'rubric': ['0 — план отсутствует.', '1 — план на короткую перспективу (неделю).', '2 — план на месяц, но фрагментарный.', '3 — план комплексный, но не подкреплён действиями.', '4 — план комплексный, подкреплён действиями и регулярными коммуникациями.', '5 — то же + культура компании становится более открытой и устойчивой к кризисам в будущем.'], 'recommendation': 'Доверие строится долго. Создай roadmap коммуникаций и действий на 6-12 месяцев и следуй ему.'}]"""
X5-RETAIL-AUTOMATION-001,"""Вы — руководитель проекта по внедрению касс самообслуживания в магазинах X5. Столкнулись с сопротивлением персонала (боязнь сокращений) и недовольством части покупателей. Разработайте план: (1) коммуникация с персоналом, (2) обучение новой роли (консультант в зале), (3) помощь покупателям в освоении, (4) измерение удовлетворенности.""","""Коммуникация: донести, что кассы дополняют, а не заменяют персонал, освобождая его для консультаций. Обучение: переобучить кассиров в универсалов-консультантов, способных помогать в зале и на кассе. Помощь покупателям: в первые недели дежурный сотрудник постоянно находится в зоне самообслуживания, использовать таблички с инструкциями. Измерение: опросы покупателей, отслеживание количества обращений за помощью, скорость обслуживания.""","""['внедрение технологий', 'кассы самообслуживания', 'сопротивление изменениям', 'переобучение персонала', 'удовлетворенность покупателей']""","""[{'skill': 'Управление изменениями', 'criterion': 'Эффективность работы с сопротивлением персонала', 'rubric': ['0 — сопротивление проигнорировано.', '1 — попытки есть, но неубедительные.', '2 — персонал введён в курс дела, но страхи остаются.', '3 — страхи частично развеяны, но мотивация низкая.', '4 — персонал понимает benefits и вовлечён в процесс изменений.', '5 — то же + персонал становится адвокатом изменений.'], 'recommendation': 'Вовлеки самых авторитетных сотрудников в пилотный проект и сделай их амбассадорами изменений.'}, {'skill': 'Клиентоориентированность', 'criterion': 'Учёт и улучшение опыта покупателя при внедрении новшеств', 'rubric': ['0 — опыт покупателя ухудшился.', '1 — опыт не изменился, но есть недовольство.', '2 — недовольство частично снято помощью.', '3 — большинство покупателей адаптировались.', '4 — покупатели довольны новым форматом, скорость и удобство выросли.', '5 — то же + кассы самообслуживания становятся конкурентным преимуществом.'], 'recommendation': 'Собери фокус-группу покупателей до и после внедрения, чтобы понять их боли и ожидания.'}]"""
X5-ECO-INITIATIVE-001,"""Вы — руководитель направления по устойчивому развитию X5. Нужно разработать и внедрить программу по снижению использования пластиковых пакетов на кассах. Предложите план: (1) альтернативы пластику, (2) мотивация покупателей отказываться от пакетов, (3) обучение кассиров, (4) цели и метрики успеха.""","""Альтернативы: предложить бумажные пакеты, многоразовые сумки по доступной цене, акции на свои сумки. Мотивация: ввести плату за пластиковый пакет (но не как источник дохода, а как стимул), бонусы на карту лояльности за отказ от пакета. Обучение кассиров: научить вежливо предлагать альтернативы и спрашивать 'нужен ли пакет?' в конце покупки. Метрики: количество выданных пластиковых пакетов на 100 чеков, доля покупателей, использующих многоразовые сумки, рост продаж многоразовых сумок."""," ""['устойчивое развитие', 'сокращение пластика', 'экологические инициативы', 'многоразовые сумки', 'мотивация покупателей', 'метрики']""","""[{'skill': 'Креативное мышление', 'criterion': 'Инновационность и практичность предлагаемых решений', 'rubric': ['0 — решения не предложены.', '1 — предложены стандартные решения (только плата за пакет).', '2 — предложены несколько решений, но без учёта поведения покупателей.', '3 — решения учитывают поведение, но сложны во внедрении.', '4 — решения innovative, practical и учитывают интересы всех сторон (компания, покупатель, экология).', '5 — то же + программа становится USP и темой для PR.'], 'recommendation': 'Изучи лучшие практики ритейлеров по всему миру в области сокращения пластика.'}, {'skill': 'Измерение impact', 'criterion': 'Корректность и отслеживаемость метрик', 'rubric': ['0 — метрики не определены.', '1 — метрики определены, но не отслеживаются.', '2 — отслеживаются output-метрики (например, продажи сумок).', '3 — отслеживаются outcome-метрики (сокращение пластика).', '4 — отслеживаются outcome-метрики и их влияние на имидж компании.', '5 — то же + программа вносит измеримый вклад в экологические цели компании.'], 'recommendation': 'Рассчитай базовый уровень использования пакетов до начала программы для точного измерения эффекта.'}]"""
X5-LOGISTICS-OPTIM-001,"""Вы — логист в распределительном центре X5. Резко вырос спрос на скоропортящиеся товары из-за аномальной жары. Предложите: (1) как оперативно перераспределить транспортные ресурсы, (2) алгоритм приоритизации доставки, (3) меры по сохранению качества продукции, (4) коммуникацию с магазинами об изменении графиков."""," ""Немедленно активировать резервный транспорт и перевести часть водителей на сверхурочные. Приоритет: магазины с наименьшими остатками + высокая проходимость. Использовать термо-контейнеры и хладоэлементы. Внедрить мониторинг температуры в реальном времени. Уведомлять магазины за 2 часа через чат-бот с примерным временем доставки и списком товаров. Вести лог изменений для анализа после пика.""","""['логистика', 'скоропортящиеся товары', 'аномальная жара', 'перераспределение ресурсов', 'приоритизация', 'контроль температуры', 'коммуникация с магазинами']"""," ""[{'skill': 'Критическое мышление', 'criterion': 'Скорость и качество принятия решений в условиях кризиса', 'rubric': ['0 — решения не приняты/приведшие к порче.', '1 — решения с опозданием, частичные.', '2 — решения есть, но без учёта всех факторов.', '3 — учтены основные факторы, но нет резервных планов.', '4 — решения оперативные, с учётом приоритетов и рисков.', '5 — то же + создание системы на будущее и анализ превентивных мер.'], 'recommendation': 'Разработай и отработай чек-лист действий на случай резкого роста спроса по разным категориям товаров.'}, {'skill': 'Оперативное планирование', 'criterion': 'Эффективность перераспределения ресурсов', 'rubric': ['0 — ресурсы не перераспределены.', '1 — перераспределение хаотичное, без учёта потребностей.', '2 — учтены только очевидные потребности.', '3 — перераспределение адекватное, но не оптимальное.', '4 — перераспределение оптимальное, с минимизацией потерь.', '5 — то же + использование алгоритмов прогнозирования и автоматизации.'], 'recommendation': 'Создай динамическую карту приоритетов доставки на основе остатков в магазинах и прогноза спроса.'}]"""
